GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.errors,ForbiddenException,0,4,0,0,0,2,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.jobs,ResolveHostnameJob,0,38,0,2,0,9,0,3,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.utilities,CanonicalFormConverter,0,15,0,0,0,3,0,3,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.startup,DiningCachingProxyStartup,0,34,0,0,0,11,0,4,0,4
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.startup,DiningCachingProxyApplicationRunner,0,14,0,0,0,5,0,3,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.startup,WiremockApplicationRunner,0,17,0,0,0,6,0,3,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.interceptors,RoleUpdateInterceptor,0,101,0,12,0,24,0,9,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,HostTrackingService,0,3,0,0,0,1,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,HostCount,0,9,0,0,0,1,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,JobUserProviderImpl,0,26,0,4,0,5,0,5,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,StatsService,0,71,0,2,0,17,0,8,0,7
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,ResolveHostnameJobFactory,0,16,0,0,0,6,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,DiningProxyService,0,125,0,8,0,37,0,6,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,HostTrackingServiceImpl,0,76,0,2,0,15,0,7,0,6
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.services,SystemInfoServiceImpl,0,58,0,4,0,15,0,5,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,HealthController,0,7,0,0,0,2,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,AdminsController,0,82,0,2,0,16,0,8,0,7
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,UserInfoController,0,6,0,0,0,2,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,DiningProxyController,0,70,0,14,0,15,0,10,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,CachedEndpointsController.CachedEndpointDTO,0,16,0,0,0,3,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,StatsController,0,19,0,0,0,6,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,AdminsController.AdminDTO,0,18,0,0,0,3,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,HostTrackingController,0,12,0,0,0,3,0,3,0,3
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,HostManagersController,0,56,0,0,0,11,0,6,0,6
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,ApiController,0,50,0,0,0,14,0,8,0,8
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,StatsController.StatsDTO,0,15,0,0,0,1,0,1,0,1
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,SystemInfoController,0,7,0,0,0,2,0,2,0,2
diningcachingproxy,edu.ucsb.cs156.diningcachingproxy.controller,CachedEndpointsController,0,11,0,0,0,2,0,2,0,2
